 Name                           Version      License                                             
 Django                         4.1.5        BSD License                                         
 Faker                          12.3.3       MIT License                                         
 Markdown                       3.4.1        BSD License                                         
 PyJWT                          2.6.0        MIT License                                         
 PyYAML                         6.0          MIT License                                         
 aiohttp                        3.8.3        Apache Software License                             
 aiosignal                      1.3.1        Apache Software License                             
 ansicon                        1.89.0       Mozilla Public License 2.0 (MPL 2.0)                
 arrow                          1.2.3        Apache Software License                             
 asgiref                        3.6.0        BSD License                                         
 async-timeout                  4.0.2        Apache Software License                             
 attrs                          22.2.0       MIT License                                         
 beautifulsoup4                 4.11.1       MIT License                                         
 blessed                        1.19.1       MIT License                                         
 cachetools                     5.2.1        MIT License                                         
 celsusdjango                   0.1.0        UNKNOWN                                             
 certifi                        2022.12.7    Mozilla Public License 2.0 (MPL 2.0)                
 cffi                           1.15.1       MIT License                                         
 charset-normalizer             2.1.1        MIT License                                         
 cryptography                   39.0.0       Apache Software License; BSD License                
 defusedxml                     0.7.1        Python Software Foundation License                  
 dj-rest-auth                   2.2.6        MIT                                                 
 django-allauth                 0.51.0       MIT License                                         
 django-cors-headers            3.13.0       MIT License                                         
 django-dbbackup                4.0.2        BSD License                                         
 django-filter                  22.1         BSD License                                         
 django-picklefield             3.1          MIT License                                         
 django-q                       1.3.9        MIT License                                         
 django-rest-auth               0.9.5        UNKNOWN                                             
 django-sendfile2               0.7.0        BSD License                                         
 djangorestframework            3.14.0       BSD License                                         
 djangorestframework-simplejwt  5.2.2        MIT License                                         
 drf-flex-fields                1.0.0        MIT License                                         
 drf-spectacular                0.24.2       BSD License                                         
 drf-url-filters                0.5.1        MIT License                                         
 factory-boy                    3.2.1        MIT License                                         
 faker-biology                  0.6.0        Other/Proprietary License                           
 faker-python                   0.0.1        MIT License                                         
 faker-web                      0.3.1        Apache Software License                             
 frozenlist                     1.3.3        Apache Software License                             
 google                         3.0.0        BSD License                                         
 google-api-core                2.11.0       Apache Software License                             
 google-api-python-client       2.72.0       Apache Software License                             
 google-auth                    2.16.0       Apache Software License                             
 google-auth-httplib2           0.1.0        Apache Software License                             
 googleapis-common-protos       1.58.0       Apache Software License                             
 gunicorn                       20.1.0       MIT License                                         
 httplib2                       0.21.0       MIT License                                         
 idna                           3.4          BSD License                                         
 inflection                     0.5.1        MIT License                                         
 jinxed                         1.2.0        Mozilla Public License 2.0 (MPL 2.0)                
 jsonschema                     4.17.3       MIT License                                         
 multidict                      6.0.4        Apache Software License                             
 numpy                          1.24.1       BSD License                                         
 oauthlib                       3.2.2        BSD License                                         
 pandas                         1.5.2        BSD License                                         
 protobuf                       4.21.12      3-Clause BSD License                                
 psycopg2                       2.9.5        GNU Library or Lesser General Public License (LGPL) 
 pyasn1                         0.4.8        BSD License                                         
 pyasn1-modules                 0.2.8        BSD License                                         
 pycparser                      2.21         BSD License                                         
 pyparsing                      3.0.9        MIT License                                         
 pyrsistent                     0.19.3       MIT License                                         
 python-dateutil                2.8.2        Apache Software License; BSD License                
 python3-openid                 3.2.0        Apache Software License                             
 pytz                           2022.7       MIT License                                         
 redis                          3.5.3        MIT License                                         
 requests                       2.28.2       Apache Software License                             
 requests-oauthlib              1.3.1        BSD License                                         
 rsa                            4.9          Apache Software License                             
 six                            1.16.0       MIT License                                         
 soupsieve                      2.3.2.post1  MIT License                                         
 sqlparse                       0.4.3        BSD License                                         
 tzdata                         2022.7       Apache Software License                             
 uniprotparser                  1.0.8        MIT License                                         
 uritemplate                    4.1.1        Apache Software License; BSD License                
 urllib3                        1.26.14      MIT License                                         
 voluptuous                     0.13.1       BSD License                                         
 yarl                           1.8.2        Apache Software License                             
